De Aziatische kampioenschappen schaatsen 2004 werden op 3 en 4 januari 2004 op de buitenijsbaan
Melese pumila is een beervlinder uit de familie van de spinneruilen (Erebidae). De wetenschappelijke naam
Kippenvel, ook wel horripilatie, spasmodermie genoemd, is het verschijnsel dat haren op de huid rechtop
Amerikaanse gorzen (Passerellidae) zijn een familie van de zangvogels. Het zijn zaadeters met een speciaal
Arthropleura is een uitgestorven duizendpotigengeslacht dat tijdens het late carboon leefde en waarvan de soorten
Anne Christine "Kiki" Sørum (16 januari 1939 - 30 augustus 2009) was een Noors modejournaliste,
Bopyrinella stricticauda is een pissebed uit de familie Bopyridae. De wetenschappelijke naam van de soort
Austrobdella oosthuizeni is een ringworm uit de familie van de Piscicolidae. De wetenschappelijke naam van
Dodona kaolinkon is een vlindersoort uit de familie van de prachtvlinders (Riodinidae), onderfamilie Nemeobiinae. Dodona
Villa del Dique is een plaats in het Argentijnse bestuurlijke gebied Calamuchita in de provincie
Het wapen van Uruguay werd aangenomen op 19 maart 1829. Centraal staat een ovaal, dat
Disenchantment is een Amerikaanse satirische fantasieanimatieserie, gemaakt door de Rough Draft Studio's in Glendale en
Seunong is een bestuurslaag in het regentschap Pidie Jaya van de provincie Atjeh, Indonesië. Seunong
Vösendorf is een gemeente in de Oostenrijkse deelstaat Neder-Oostenrijk, gelegen in het district Mödling (MD).
De NASCAR Grand National Series 1955 was het zevende seizoen van het belangrijkste NASCAR kampioenschap
Bodil De La Aize is een personage uit de jeugdsoapserie SpangaS van de NCRV....
Carabus nangnimicus is een keversoort uit de familie van de loopkevers (Carabidae). De wetenschappelijke naam
Zenuwgassen zijn stoffen die in het menselijk lichaam de overbrenging van signalen via zenuwen verstoren,
De heilige Marinus van Rimini (gestorven in 360) was volgens de legende de stichter van
Ironus rotundicaudatus is een rondwormensoort uit de familie van de Ironidae....
Climeniperaeus truncatus is een garnalensoort uit de familie van de Palaemonidae. De wetenschappelijke naam van
Ijermaouas (Arabisch: إجرمواس) is een stad in Noord-Marokko, waar voornamelijk de Ait Touzine-stam woont. Ijermaouas
Färholmen is een Zweeds rond eiland in de Råneälven. Het eiland ligt midden in de
Pleuroptya scinisalis is een vlinder uit de familie van de grasmotten (Crambidae). De wetenschappelijke naam
De Golden Reel Award is een Amerikaanse prijs die sinds 1953 wordt uitgereikt door de
Wilma Jacqueline Mansveld (Hilversum, 11 september 1962) is een Nederlands politicus van de PvdA. Mansveld
Isaac Cronström (Avesta, Zweden 3 juli 1661 - Kasteel Nemerlaer 31 juli 1751) was een
Rivula leuconephra is een vlinder uit de familie van de spinneruilen (Erebidae). De wetenschappelijke naam
Turanisme is een politiek toekomstbeeld waarin alle Turken en andere Altaïsche volkeren verenigd zouden worden
Campsurus violaceus is een haft uit de familie Polymitarcyidae. De wetenschappelijke naam van de soort
Aneflus cylindricollis is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Paul Philip Koning, (Arnhem, 18 september 1916 - Eemnes, 3 juli 1998), was een Nederlands
Eilema tonseana is een beervlinder uit de familie van de spinneruilen (Erebidae). De wetenschappelijke naam
FAIR data zijn onderzoeksdata die volgens de internationale FAIR principes zijn beschreven, opgeslagen en gepubliceerd.
Albula neoguinaica is een straalvinnige vissensoort uit de familie van gratenvissen (Albulidae). De wetenschappelijke naam
Botyodes quinquemaculalis is een vlinder uit de familie van de grasmotten (Crambidae). De wetenschappelijke naam
Joyce Tiggelovend (Maastricht, 4 september 1986) is een Nederlandse zangeres, bekend onder de naam Joyze....
Fundulus chrysotus is een straalvinnige vissensoort uit de familie van killivisjes (Fundulidae). De wetenschappelijke naam
Eudonia fotounii is een vlinder uit de familie grasmotten (Crambidae). De wetenschappelijke naam van deze
Stactobia mclachlani is een schietmot uit de familie Hydroptilidae. De soort komt voor in het
Procolpia centurio is een rechtvleugelig insect uit de familie Romaleidae. De wetenschappelijke naam van deze
Jack Sherman (geb. in Los Angeles) is een studio-gitarist die meespeelde op het debuutalbum van
Groß Kiesow is een gemeente in de Duitse deelstaat Mecklenburg-Voor-Pommeren, en maakt deel uit van
Pieter Geert Buckinx (Kortessem, 6 februari 1903 - Jette, 21 januari 1987) was een Vlaams
Limbé (Haïtiaans Creools: Lenbe) is een stad en gemeente met 85.000 inwoners. Het is de
Maurolicus imperatorius is een straalvinnige vissensoort uit de familie van diepzeebijlvissen (Sternoptychidae). De wetenschappelijke naam
Corydoras longipinnis is een straalvinnige vissensoort uit de familie van de pantsermeervallen (Callichthyidae). De wetenschappelijke
Pierre Golle of Gole (Bergen, circa 1620 - Parijs, 27 november 1684) was een getalenteerd
Paulo César Díaz Huincales (Santiago, 22 augustus 1994) is een Chileens voetballer die doorgaans als
Dit is een complete lijst van spoorwegstations van Rodalies Barcelona....
Sant Josep de sa Talaia is een gemeente in de Spaanse provincie Balearen in de
Ringu Rara is een bestuurslaag in het regentschap West-Soemba van de provincie Oost-Nusa Tenggara, Indonesië.
De grijskeelmuggeneter (Conopophaga peruviana) is een zangvogel uit de familie Conopophagidae (muggeneters)....
Richard Garnett (Lichfield, 27 februari 1835 - 13 april 1906) was een geleerde, bibliothecaris, biograaf
Gymnelia latimarginata is een beervlinder uit de familie van de spinneruilen (Erebidae). De wetenschappelijke naam
Binden kan verwijzen naar: een vloeistof dikker maken, bijvoorbeeld door ze te koken of door
Eusphalera multicolor is een vlinder uit de familie van de bloeddrupjes (Zygaenidae). De wetenschappelijke naam
Stiropius striatellus is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Rhaconotus scaber is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
Mestolobes sirina is een vlinder uit de familie van de grasmotten (Crambidae). De wetenschappelijke naam
De Sierra de Ambato-chinchillarat (Abrocoma budini) is een chinchillarat die voorkomt in het zuidoosten van
Een hypermarkt (in het Frans: hypermarché, Spaans: hipermercado) is een grootschalige winkel waar naast supermarktartikelen
Foutsia is een geslacht van vliesvleugeligen uit de familie Eurytomidae. De wetenschappelijke naam van dit
Hillel Slovak (Haifa (Israël), 13 april 1962 - Los Angeles, 25 juni 1988) was de
U.S. Postmaster's Provisionals zijn voorlopers van Amerikaanse postzegels die in de periode 1845–1847 werden uitgegeven
De Ferrari 412 T2 was de Formule 1-auto van Scuderia Ferrari in 1995. De wagen
Charencey is de naam van een aantal (voormalige) Franse gemeenten: Charencey (Côte-d'Or), een gemeente in
Ponticola constructor is een straalvinnige vissensoort uit de familie van de grondels (Gobiidae). De wetenschappelijke
VV Valthermond is een op 1 augustus 1930 opgerichte amateurvoetbalvereniging uit Valthermond, Drenthe, Nederland. De
Ron Huldai (Hebreeuws: רון חולדאי ) (Kibboets Hulda (nu Regionale raad van Gezer, toen: Mandaatsgebied
Landò is een plaats (frazione) in de Italiaanse gemeente Malonno....
Gwendoline Crellin (MBE) (juni 1917 - 9 december 2006) was de eerste vrouwelijke marshal van
De vuurtopaaskolibrie (Topaza pyra) is een vogel uit de familie Trochilidae (Kolibries)....
Nephrotoma angustistria is een tweevleugelige uit de familie langpootmuggen (Tipulidae). De soort komt voor in
Het receptieve veld van een sensorisch neuron is het gebied in de ruimte waarin een
Pyrotheriidae zijn een familie van uitgestorven zoogdieren uit het Eoceen tot Vroeg-Oligoceen....
Elosa spinifera is een raderdiertjessoort uit de familie Trichocercidae. De wetenschappelijke naam van deze soort
De Moreelsebrug is een voetgangers- en fietsbrug over de treinperrons en sporen, en het busstation,
Paramolgus litophyticus is een eenoogkreeftjessoort uit de familie van de Rhynchomolgidae. De wetenschappelijke naam van
Illuminations is een studioalbum van Wishbone Ash. Het is het eerste studioalbum nadat Andy Powell
Pilumnus contrarius is een krabbensoort uit de familie van de Pilumnidae. De wetenschappelijke naam van
Eurostauletes procerus is een keversoort uit de familie Rhynchitidae. De wetenschappelijke naam van de soort
Toul-Nord is een voormalig kanton van het Franse departement Meurthe-et-Moselle. Het kanton maakte deel uit
Neoclytus peninsularis is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Richmond is een station van National Rail, London Overground aan de North London Line en
De marathon voor mannen op de Olympische Zomerspelen 1956 vond plaats om zaterdag 1 december
Bistolida goodallii is een slakkensoort uit de familie van de Cypraeidae. De wetenschappelijke naam van
Nassarius delicatus is een slakkensoort uit de familie van de Nassariidae. De wetenschappelijke naam van
Percnia luridaria is een vlinder uit de familie van de spanners (Geometridae). De wetenschappelijke naam
Een passievrucht of markieza (Portugees: maracujá, Spaans: maracuyá) is een vrucht afkomstig van passiebloemen. De
De maskerbergtangare (Buthraupis wetmorei) is een zangvogel uit de familie Thraupidae (tangaren)....
De tai situ, ook tai situpa is een Tibetaans is een tulku, ofwel een lama,
Necydalis rudei is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Luidia sagamina is een kamster uit de familie Luidiidae. De wetenschappelijke naam van de soort
Dasychira ilesha is een vlinder uit de familie familie spinneruilen (Erebidae), onderfamilie donsvlinders (Lymantriinae). De
Podarkeopsis capensis is een borstelworm uit de familie Hesionidae. Het lichaam van de worm bestaat
De School van Antiochië was een van de twee grootste centra van de studie van
The Millionaire is een Amerikaanse dramafilm uit 1921 onder regie van Jack Conway....
Rhodometra kikiae is een vlinder uit de familie van de spanners (Geometridae). De wetenschappelijke naam
Djordje Despotović (Loznica, 4 maart 1992) is een Servisch voetballer, die momenteel bij FK Orenburg
Birecik is een Turks district in de provincie Şanlıurfa en telt 83.319 inwoners (2007). Het
Derolus arciferus is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
De islam is in Nieuw-Zeeland een relatief kleine en nieuwe religieuze gemeenschap van ruim 36.000
Pieter Lammerschaag (Koedijk, 30 april 1872 - Krommenie, 18 december 1915) was een Nederlandse burgemeester.
Reepham is een plaats en civil parish in het bestuurlijke gebied West Lindsey, in het
De Opel Vectra was een middenklasse auto van Opel die samen met de Signum tot
Cylindera cursitans is een keversoort uit de familie van de loopkevers (Carabidae). De wetenschappelijke naam
Achterin is een buurtschap in de gemeente Hardenberg in de Nederlandse provincie Overijssel. Het ligt
De vlag van Antioquia bestaat uit twee horizontale banden in de kleuren wit (boven) en
Pontogenia lichancoi is een borstelworm uit de familie Aphroditidae. Het lichaam van de worm bestaat
Kasteel Broekhuizen is een ridderhofstad, landhuis en landgoed te Leersum, gemeente Utrechtse Heuvelrug in de
Oecetis dvichakha is een schietmot uit de familie Leptoceridae. De soort komt voor in het
Metopoceras heliothidia is een vlinder uit de familie van de uilen (Noctuidae). De wetenschappelijke naam
Roemenië nam deel aan het Eurovisiesongfestival 2014 in Kopenhagen, Denemarken. Het was de 16de deelname
Jegu is een bestuurslaag in het regentschap Tabanan van de provincie Bali, Indonesië. Jegu telt
Anatella emergens is een muggensoort uit de familie van de paddenstoelmuggen (Mycetophilidae). De wetenschappelijke naam
Guayanilla is een plaats (zona urbana) in het Amerikaanse unincorporated territory Puerto Rico, en valt
Sjöbo is een plaats in de gemeente Ljusdal in het landschap Hälsingland en de provincie
Westkerke Plot of Honour is een Britse militaire begraafplaats met gesneuvelden uit de Tweede Wereldoorlog
Pseudocollinella charlottensis is een vliegensoort uit de familie van de mestvliegen (Sphaeroceridae). De wetenschappelijke naam
Rovigo kan verwijzen naar: Rovigo (provincie), een Italiaanse provincie Rovigo (stad), een Italiaanse stad, hoofdstad
Pardosa izabella is een spinnensoort in de taxonomische indeling van de wolfspinnen (Lycosidae).Het dier behoort
Leopoldowo is een plaats in het Poolse district Łomżyński, woiwodschap Podlachië. De plaats maakt deel
hotelF1, tot 2008 Formule 1 genaamd, is een hotelformule in de categorie low budget tot
Luchtkwaliteit geeft de mate van afwezigheid van luchtvervuiling aan. Dit kan buiten, in de openlucht
Oxystomina nidrosiensis is een rondwormensoort uit de familie van de Oxystominidae. De wetenschappelijke naam van
Digitalisering is de overgang van informatie naar een digitale vorm, dat wil zeggen in een
Haematoloma is een geslacht van halfvleugeligen uit de familie schuimcicaden (Cercopidae). De wetenschappelijke naam van
Een eenjarige plant voltooit zijn levenscyclus van kieming tot zaad binnen één jaar. Voorbeelden zijn
Yoldiella cadizensis is een tweekleppigensoort uit de familie van de Yoldiidae. De wetenschappelijke naam van
Russell Knox (Inverness, 21 juni 1985) is een Schotse golfer. Knox studeerde aan de Jacksonville
Jean-Claude Billong (Parijs, 28 december 1993) is een Frans voetballer die doorgaans speelt als centrale
Giuseppe Martino kan verwijzen naar: Giuseppe Sammartini, Italiaans componist en hoboïst Giuseppe Martino, Italiaans wielrenner...
Oscar Naert (Stene, 19 januari 1913 - Oostende, 9 september 1944) was een Belgische atleet,
Het wapen van Nieuwkoop is het gemeentelijk wapen van de Nederlandse gemeente Nieuwkoop (Zuid-Holland). De
Gregorius XVI, geboren als Bartolomeo Alberto Cappellari (Belluno, 18 september 1765 – Rome, 1 juni
De Kabouterbeweging was een ludieke Nederlandse en Belgische protestbeweging uit periode 1969-1974 rond ex-provo's Roel
Susuacanga wappesi is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Archibald ("Archie") Gerald Thompson (Otorohanga, Nieuw-Zeeland, 23 oktober 1978) is een Australisch voetballer. In het
De Orde van Ho Chi Minh (Vietnamees: "Huân chương Hồ Chí Minh") was een op
Gonomyia (Gonomyia) matileana is een tweevleugelige uit de familie steltmuggen (Limoniidae). De soort komt voor
De Nederlandse maagd is een zinnebeeld van het Nederlandse gemenebest. De Nederlandse maagd heeft een
Anthrenus nigritus is een keversoort uit de familie spekkevers (Dermestidae). De wetenschappelijke naam van de
De Hogeveense Polder is een polder en een voormalig waterschap in de gemeenten Lisse en
Scopula amazonata is een vlinder uit de familie van de spanners (Geometridae). De wetenschappelijke naam
Dorylaimus leuckarti is een rondwormensoort. De wetenschappelijke naam van de soort is voor het eerst
Tambon Si Don Chai (Thai: ศรีดอนชัย) is een tambon in de amphoe Chiang Khong in
Euchelus bermudensis is een slakkensoort uit de familie van de Chilodontaidae. De wetenschappelijke naam van
Xylosteus caucasicola is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Cataloipus fuscocoeruleipes is een rechtvleugelig insect uit de familie veldsprinkhanen (Acrididae). De wetenschappelijke naam van
Offaly is een kiesdistrict in de Republiek Ierland voor de verkiezingen voor Dáil Éireann. Het
Perk Batang Toru is een bestuurslaag in het regentschap Tapanuli Selatan van de provincie Noord-Sumatra,
Iraklimelania is een uitgestorven geslacht van weekdieren uit de klasse van de Gastropoda (slakken)....
Het jaar 412 v.Chr. is een jaartal volgens de christelijke jaartelling....
Selenocosmia javanensis dolichoplectra is een spinnenondersoort in de taxonomische indeling van de vogelspinnen (Theraphosidae).Het dier
Het wapen van Lierop werd op 16 juli 1817 bij besluit van de Hoge Raad
Ammotretis is een geslacht van straalvinnige vissen uit de familie van schollen (Pleuronectidae)....
Vectron is een computerspel dat werd ontwikkeld en uitgegeven door Cas Cremers van Parallax. Het
Parydra flavitarsis is een vliegensoort uit de familie van de oevervliegen (Ephydridae). De wetenschappelijke naam
Itara abdita is een rechtvleugelig insect uit de familie krekels (Gryllidae). De wetenschappelijke naam van
Pasites carnifex is een vliesvleugelig insect uit de familie bijen en hommels (Apidae). De wetenschappelijke
Diacara is een geslacht van pissebedden uit de familie van de Oniscidae....
Nyssodrysternum cingillum is een keversoort uit de familie van de boktorren (Cerambycidae). De wetenschappelijke naam
Lodewijk Theodoor graaf van Nassau-Lalecq (Terheijden, 20 november 1741 - Ravenstein (stad), 11 april 1795,
Macroglossum augarra is een vlinder uit de familie van de pijlstaarten (Sphingidae). De wetenschappelijke naam
Aiemea flavipes is een vliesvleugelig insect uit de familie Pteromalidae. De wetenschappelijke naam is voor
Dinotrema clodia is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
San Juan is een provincie van de Dominicaanse Republiek. De provincie heeft een oppervlakte van
Japan nam deel aan de Olympische Zomerspelen 2012 in Londen, Verenigd Koninkrijk....
Christopher B. Duncan (Lincoln, 4 december 1974) is een Amerikaans acteur....
Ketandan is een bestuurslaag in het regentschap Nganjuk van de provincie Oost-Java, Indonesië. Ketandan telt
Odo blumenauensis is een spinnensoort in de taxonomische indeling van de stekelpootspinnen (Zoridae).Het dier behoort
Geertruida Nennetje (Nen) van Ramshorst (Driebergen, 16 januari 1950) is een voormalig Nederlands politica voor
Oerstedia pallida is een soort in de taxonomische indeling van de snoerwormen (Nemertea). De huid
Boom Boom kan verwijzen naar: Boom Boom (Emmy), lied uit 2011, Armeense inzending voor het
Octopus horridus is een soort in de taxonomische indeling van de inktvissen, een klasse dieren
Wouter Jacques Keller (1948) is een Nederlands econometrist en informatiekundige. Keller studeerde elektrotechniek en wiskunde
Orthocentrus bilineator is een vliesvleugelig insect uit de familie van de gewone sluipwespen (Ichneumonidae). De
De bruine amarant (Lagonosticta nitidula) is een zangvogel uit de familie Estrildidae (prachtvinken)....
Melidia kenyensis is een rechtvleugelig insect uit de familie sabelsprinkhanen (Tettigoniidae). De wetenschappelijke naam van
Quelpartoniscus tsushimaensis is een pissebed uit de familie Scyphacidae. De wetenschappelijke naam van de soort
Hetaerina proxima is een libellensoort uit de familie van de beekjuffers (Calopterygidae), onderorde juffers (Zygoptera).De
Het jasje van Boudewijn is de titel van een lezing die gehouden werd door Menno
Anne Inez McCaffrey (Cambridge (Massachusetts), 1 april 1926 - 21 november 2011) was een Amerikaans
Kraljevi Ulice is een Kroatische band. De band is vooral bekend vanwege hun deelname aan
Aldan (Russisch: Алдан) is een stad in de Russische autonome deelrepubliek Jakoetië. De stad ligt
Anouk Van Gestel is een Belgisch redactrice....
Apterostigma tramitis is een mierensoort uit de onderfamilie van de Myrmicinae. De wetenschappelijke naam van
Cardiochiles tibialis is een insect dat behoort tot de orde vliesvleugeligen (Hymenoptera) en de familie
VV VIVOO is een Nederlandse amateurvoetbalclub uit Huijbergen in Noord-Brabant, opgericht in 1946. Het eerste
Idmidronea bidenkapi is een mosdiertjessoort uit de familie van de Tubuliporidae. De wetenschappelijke naam van
Het hertogdom Saksen-Hildburghausen was een van de zogenaamde Ernestijnse hertogdommen in de huidige Duitse deelstaat
Novo Nevesinje is een plaats in de gemeente Petlovac in de Kroatische provincie Osijek-Baranja. De
Chalcotropis pennata is een spinnensoort in de taxonomische indeling van de springspinnen (Salticidae).Het dier behoort
Pegoscapus insularis is een vliesvleugelig insect uit de familie vijgenwespen (Agaonidae). De wetenschappelijke naam is
Actumnus obesus is een krabbensoort uit de familie van de Pilumnidae. De wetenschappelijke naam van
Hypoatherina tropicalis is een straalvinnige vissensoort uit de familie van koornaarvissen (Atherinidae). De wetenschappelijke naam
Alexander Willem Byvanck (Leiden, 4 juli 1884 - aldaar, 16 augustus 1970) was een Nederlands
Nephrotoma shanxiensis is een tweevleugelige uit de familie langpootmuggen (Tipulidae). De soort komt voor in
Champeix is een kanton van het Franse departement Puy-de-Dôme. Het kanton maakt deel uit van
Sluiter is een Nederlandse familie, afkomstig uit Borculo die predikanten, hoogleraren en een kunstenaar voortbracht....
Lijst van gemeentelijke monumenten in Alkmaar kan verwijzen naar: Lijst van gemeentelijke monumenten in Alkmaar
Het Taalmeer is een kratermeer met zoetwater op het Filipijnse eiland Luzon in de provincie
Athous guadalupensis is een keversoort uit de familie kniptorren (Elateridae). De wetenschappelijke naam van de
Lucicutia paraclausi is een eenoogkreeftjessoort uit de familie van de Lucicutiidae. De wetenschappelijke naam van
Pyrophorus tuberculifer is een keversoort uit de familie kniptorren (Elateridae). De wetenschappelijke naam van de
Simpang Kubu is een bestuurslaag in het regentschap Kampar van de provincie Riau, Indonesië. Simpang
Unimodulair is een begrip uit de lineaire algebra. Een m*n matrix is unimodulair als het
Clarence Eugene Shaw (Detroit, 16 juni 1926 - Los Angeles, 17 augustus 1973 was een
Triscaedecia septemdactyla is een vlinder uit de familie van de waaiermotten (Alucitidae). De wetenschappelijke naam
Dimethylcarbamoylchloride is een organische verbinding die behoort tot de carbamoylchloriden. Dit zijn zuurchloriden van het
1967-1970 (meestal aangeduid als Het blauwe album) is een compilatiealbum van de Britse popgroep The
